key,title,year,venue,peer_reviewed,area,contribution_type,modalities
wang2017kgesurvey,Knowledge Graph Embedding: A Survey of Approaches and Applications,2017,IEEE Transactions on Knowledge and Data Engineering,yes,survey,survey,S
zhong2023autokgc,A Comprehensive Survey on Automatic Knowledge Graph Construction,2023,ACM Computing Surveys,yes,survey,survey,T
aireview2025kml,A Survey on Knowledge-Enhanced Multimodal Learning,2024,Artificial Intelligence Review,yes,survey,survey,"T,I"
chen2024kgmm,Knowledge Graphs Meet Multi-Modal Learning: A Comprehensive Survey,2024,arXiv preprint arXiv:2402.05391,no,survey,survey,"T,I"
zhu2022mmkg,Multi-Modal Knowledge Graph Construction and Application: A Survey,2024,IEEE Transactions on Knowledge and Data Engineering,yes,survey,survey,"T,I"
bian2025llmkgc,LLM-Empowered Knowledge Graph Construction: A Survey,2025,arXiv preprint arXiv:2510.20345,no,survey,survey,T
zhang2025graphragsurvey,A Survey of Graph Retrieval-Augmented Generation for Customized Large Language Models,2025,arXiv preprint arXiv:2501.13958,no,survey,survey,T
auer2007dbpedia,DBpedia: A Nucleus for a Web of Open Data,2007,Proc. ISWC/ASWC,yes,foundation,resource,T
suchanek2007yago,YAGO: A Core of Semantic Knowledge,2007,Proc. WWW,yes,foundation,resource,T
bollacker2008freebase,Freebase: A Collaboratively Created Graph Database for Structuring Human Knowledge,2008,Proc. ACM SIGMOD,yes,foundation,resource,T
bordes2013transe,Translating Embeddings for Modeling Multi-relational Data,2013,Proc. NeurIPS,yes,foundation,completion,S
vrandecic2014wikidata,Wikidata: A Free Collaborative Knowledgebase,2014,Communications of the ACM,yes,foundation,resource,T
toutanova2015fb,Observed versus Latent Features for Knowledge Base and Text Inference,2015,Proc. Workshop on Continuous Vector Space Models and their Compositionality,yes,foundation,dataset,S
yang2015distmult,Embedding Entities and Relations for Learning and Inference in Knowledge Bases,2015,Proc. ICLR,yes,foundation,completion,S
trouillon2016complex,Complex Embeddings for Simple Link Prediction,2016,Proc. ICML,yes,foundation,completion,S
gemmeke2017audioset,Audio Set: An Ontology and Human-Labeled Dataset for Audio Events,2017,Proc. IEEE ICASSP,yes,foundation,dataset,A
krishna2017visualgenome,Visual Genome: Connecting Language and Vision Using Crowdsourced Dense Image Annotations,2017,International Journal of Computer Vision,yes,foundation,dataset,"T,I"
dettmers2018conve,Convolutional 2D Knowledge Graph Embeddings (ConvE),2018,Proc. AAAI,yes,foundation,completion,S
houlsby2019adapters,Parameter-Efficient Transfer Learning for NLP,2019,Proc. ICML,yes,foundation,transfer,T
sun2019rotate,RotatE: Knowledge Graph Embedding by Relational Rotation in Complex Space,2019,Proc. ICLR,yes,foundation,completion,S
baevski2020wav2vec,wav2vec 2.0: A Framework for Self-Supervised Learning of Speech Representations,2020,Proc. NeurIPS,yes,foundation,enabler,A
hogan2021kg,Knowledge Graphs,2021,ACM Computing Surveys,yes,foundation,survey,S
lester2021prompt,The Power of Scale for Parameter-Efficient Prompt Tuning,2021,Proc. EMNLP,yes,foundation,transfer,T
radford2021clip,Learning Transferable Visual Models from Natural Language Supervision,2021,Proc. ICML,yes,foundation,enabler,"T,I"
hu2022lora,LoRA: Low-Rank Adaptation of Large Language Models,2022,Proc. ICLR,yes,foundation,transfer,T
ji2022kgsurvey,"A Survey on Knowledge Graphs: Representation, Acquisition, and Applications",2022,IEEE Transactions on Neural Networks and Learning Systems,yes,foundation,survey,S
elizalde2023clap,CLAP: Learning Audio Concepts from Natural Language Supervision,2023,Proc. IEEE ICASSP,yes,foundation,enabler,"A,T"
girdhar2023imagebind,ImageBind: One Embedding Space to Bind Them All,2023,Proc. IEEE/CVF CVPR,yes,foundation,enabler,"T,I,A"
li2023blip2,BLIP-2: Bootstrapping Language-Image Pre-training with Frozen Image Encoders and Large Language Models,2023,Proc. ICML,yes,foundation,enabler,"T,I"
liu2023llava,Visual Instruction Tuning,2023,Proc. NeurIPS,yes,foundation,enabler,"T,I"
radford2023whisper,Robust Speech Recognition via Large-Scale Weak Supervision,2023,Proc. ICML,yes,foundation,enabler,"A,T"
zhang2023videollama,Video-LLaMA: An Instruction-tuned Audio-Visual Language Model for Video Understanding,2023,Proc. EMNLP System Demonstrations,yes,foundation,enabler,"T,A,V"
angeli2015openie,Leveraging Linguistic Structure for Open Domain Information Extraction,2015,Proc. ACL,yes,text,extraction,T
yao2019docred,DocRED: A Large-Scale Document-Level Relation Extraction Dataset,2019,Proc. ACL,yes,text,dataset,T
huguet2021rebel,REBEL: Relation Extraction By End-to-end Language generation,2021,Findings of EMNLP,yes,text,extraction,T
zhou2021atlop,Document-Level Relation Extraction with Adaptive Thresholding and Localized Context Pooling,2021,Proc. AAAI,yes,text,extraction,T
tan2022redocred,Revisiting DocRED -- Addressing the False Negative Problem in Relation Extraction,2022,Proc. EMNLP,yes,text,dataset,T
babaei2023llms4ol,LLMs4OL: Large Language Models for Ontology Learning,2023,Proc. ISWC,yes,text,construction,T
text2kgbench2023,Text2KGBench: A Benchmark for Ontology-Driven Knowledge Graph Generation from Text,2023,Proc. ISWC,yes,text,dataset,T
chen2024sackg,SAC-KG: Exploiting Large Language Models as Skilled Automatic Constructors for Domain Knowledge Graph,2024,Proc. ACL,yes,text,construction,T
liang2024kag,KAG: Boosting LLMs in Professional Domains via Knowledge Augmented Generation,2024,arXiv preprint arXiv:2409.13731,no,text,construction,T
bai2025autoschemakg,AutoSchemaKG: Autonomous Knowledge Graph Construction through Dynamic Schema Induction from Web-Scale Corpora,2025,arXiv preprint arXiv:2505.23628,no,text,construction,T
nlpakg2025,NLP-AKG: Few-Shot Construction of NLP Academic Knowledge Graph Based on LLM,2025,arXiv preprint arXiv:2502.14192,no,text,construction,T
trace2026,Beyond Predefined Schemas: TRACE-KG for Context-Enriched Knowledge Graphs from Complex Documents,2026,arXiv preprint arXiv:2604.03496,no,text,construction,T
xu2020layoutlm,LayoutLM: Pre-training of Text and Layout for Document Image Understanding,2020,Proc. ACM SIGKDD,yes,doc,extraction,"T,I,B"
mathew2021docvqa,DocVQA: A Dataset for VQA on Document Images,2021,Proc. IEEE/CVF WACV,yes,doc,dataset,"T,I,B"
xu2021layoutlmv2,LayoutLMv2: Multi-modal Pre-training for Visually-Rich Document Understanding,2021,Proc. ACL,yes,doc,extraction,"T,I,B"
huang2022layoutlmv3,LayoutLMv3: Pre-training for Document AI with Unified Text and Image Masking,2022,Proc. ACM Multimedia,yes,doc,extraction,"T,I,B"
kim2022donut,OCR-Free Document Understanding Transformer (Donut),2022,Proc. ECCV,yes,doc,extraction,"T,I,B"
wang2022lilt,LiLT: A Simple yet Effective Language-Independent Layout Transformer for Structured Document Understanding,2022,Proc. ACL,yes,doc,extraction,"T,I,B"
docowl2024,mPLUG-DocOwl 1.5: Unified Structure Learning for OCR-free Document Understanding,2024,arXiv preprint arXiv:2403.12895,no,doc,extraction,"T,I,B"
luo2024layoutllm,LayoutLLM: Layout Instruction Tuning with Large Language Models for Document Understanding,2024,Proc. IEEE/CVF CVPR,yes,doc,extraction,"T,I,B"
